lsoa,id,Violence and sexual offences,violenceRank,Robbery,robberyRank,personTotal,personRank,personTie,Burglary,burglaryRank,Vehicle crime,carRank,Bicycle theft,bikeRank,Criminal damage and arson,arsonRank,Other theft,otherRank,Shoplifting,shopRank,Theft from the person,directRank,propertyTotal,propertyRank,propertyTie
Birmingham 001A,E01009417,3,1641,2,642,5,1592,Y,6,1362,5,1498,0,1007,0,1682,0,1620,0,816,0,676,11,0,Y
Birmingham 001B,E01009418,11,1322,0,1283,11,1355,Y,12,739,10,1005,1,561,4,1456,2,1288,0,816,0,676,29,0,Y
Birmingham 001C,E01009419,4,1611,0,1283,4,1626,Y,9,1041,7,1318,0,1007,1,1646,0,1620,0,816,0,676,17,0,Y
Birmingham 001D,E01009433,6,1531,0,1283,6,1556,Y,12,739,7,1318,0,1007,10,958,0,1620,0,816,0,676,29,0,Y
Birmingham 002A,E01009415,5,1568,1,907,6,1556,Y,6,1362,6,1418,0,1007,3,1532,0,1620,0,816,1,319,16,0,Y
Birmingham 002B,E01009422,28,666,3,442,31,655,Y,16,438,11,923,3,191,6,1290,7,618,15,221,0,676,58,0,Y
Birmingham 002C,E01009423,14,1201,2,642,16,1171,Y,6,1362,7,1318,1,561,5,1371,6,705,8,319,2,180,35,0,Y
Birmingham 002D,E01009425,14,1201,2,642,16,1171,Y,8,1147,2,1655,1,561,7,1198,18,198,27,144,1,319,64,0,Y
Birmingham 003A,E01009416,23,844,0,1283,23,927,Y,3,1594,6,1418,1,561,4,1456,7,618,0,816,1,319,22,0,Y
Birmingham 003B,E01009420,7,1487,0,1283,7,1518,Y,5,1455,3,1620,0,1007,4,1456,0,1620,0,816,0,676,12,0,Y
Birmingham 003C,E01009426,6,1531,0,1283,6,1556,Y,3,1594,5,1498,0,1007,2,1593,1,1459,0,816,0,676,11,0,Y
Birmingham 003D,E01009429,11,1322,0,1283,11,1355,Y,11,830,0,1695,1,561,3,1532,5,821,2,538,0,676,22,0,Y
Birmingham 003E,E01009431,15,1155,0,1283,15,1217,Y,9,1041,4,1564,1,561,8,1115,3,1118,1,631,0,676,26,0,Y
