lsoa,id,Violence and sexual offences,violenceRank,Robbery,robberyRank,personTotal,personRank,personTie,Burglary,burglaryRank,Vehicle crime,carRank,Bicycle theft,bikeRank,Criminal damage and arson,arsonRank,Other theft,otherRank,Shoplifting,shopRank,Theft from the person,directRank,propertyTotal,propertyRank,propertyTie
Blackburn with Darwen 018D,E01012628,4,1607,0,1031,4,1613,Y,0,1680,2,1615,0,1071,0,1667,1,1585,0,851,0,717,3,0,Y
Bolton 001A,E01004768,11,1337,0,1031,11,1366,Y,10,1104,7,1240,0,1071,3,1560,2,1498,0,851,0,717,22,0,Y
Bolton 001B,E01004803,10,1386,0,1031,10,1406,Y,26,236,4,1482,1,657,3,1560,4,1280,0,851,0,717,38,0,Y
Bolton 001C,E01004804,4,1607,0,1031,4,1613,Y,6,1466,6,1319,2,439,11,1108,6,1061,0,851,0,717,31,0,Y
Bolton 001D,E01004807,11,1337,0,1031,11,1366,Y,11,1013,13,687,0,1071,2,1610,4,1280,0,851,0,717,30,0,Y
Bolton 001E,E01004808,7,1513,0,1031,7,1525,Y,25,256,10,953,0,1071,8,1283,6,1061,0,851,0,717,49,0,Y
Bolton 002A,E01004788,3,1630,0,1031,3,1632,Y,9,1211,4,1482,1,657,7,1350,0,1650,0,851,0,717,21,0,Y
Bolton 002B,E01004790,17,1115,0,1031,17,1148,Y,12,940,17,421,1,657,15,895,50,83,9,296,1,384,105,0,Y
Bolton 002C,E01004805,11,1337,0,1031,11,1366,Y,11,1013,13,687,0,1071,1,1646,5,1165,0,851,0,717,30,0,Y
Bolton 002D,E01004806,25,846,0,1031,25,885,Y,29,182,8,1142,1,657,10,1161,9,779,41,74,0,717,98,0,Y
Bolton 002E,E01004810,8,1474,0,1031,8,1491,Y,13,860,8,1142,0,1071,10,1161,5,1165,0,851,0,717,36,0,Y
Bolton 003A,E01004769,22,945,0,1031,22,980,Y,8,1302,10,953,0,1071,9,1218,3,1379,0,851,0,717,30,0,Y
Bolton 003B,E01004770,8,1474,0,1031,8,1491,Y,5,1535,8,1142,0,1071,0,1667,4,1280,0,851,0,717,17,0,Y
Bolton 003C,E01004771,17,1115,1,603,18,1104,Y,14,803,20,298,2,439,16,847,22,274,5,413,1,384,80,0,Y
Bolton 003D,E01004773,16,1163,0,1031,16,1190,Y,23,306,11,842,0,1071,12,1048,4,1280,0,851,0,717,50,0,Y
Bolton 003E,E01004809,30,695,1,603,31,719,Y,22,345,13,687,3,312,25,482,10,702,0,851,0,717,73,0,Y
Bolton 004A,E01004777,24,883,0,1031,24,911,Y,21,386,12,760,2,439,30,356,12,588,6,377,0,717,83,0,Y
Bolton 004B,E01004881,43,425,0,1031,43,474,Y,20,432,9,1053,1,657,23,574,15,461,6,377,1,384,75,0,Y
Bolton 004C,E01004888,12,1302,0,1031,12,1326,Y,10,1104,5,1415,0,1071,5,1452,1,1585,0,851,0,717,21,0,Y
Bolton 004D,E01004889,23,905,0,1031,23,935,Y,6,1466,10,953,1,657,20,677,3,1379,0,851,0,717,40,0,Y
Bolton 004E,E01004890,48,340,1,603,49,367,Y,31,151,7,1240,0,1071,22,608,14,504,17,178,3,182,94,0,Y
Bolton 005A,E01004766,34,611,7,91,41,514,Y,23,306,23,214,2,439,26,448,51,75,37,86,2,254,164,0,Y
Bolton 005B,E01004767,39,512,3,286,42,490,Y,31,151,21,271,1,657,23,574,20,311,23,143,3,182,122,0,Y
Bolton 005C,E01004772,33,634,0,1031,33,667,Y,4,1581,10,953,3,312,10,1161,7,952,0,851,0,717,34,0,Y
Bolton 005D,E01004774,38,531,1,603,39,557,Y,8,1302,12,760,2,439,28,397,7,952,0,851,0,717,57,0,Y
Bolton 005E,E01004824,24,883,1,603,25,885,Y,9,1211,15,531,0,1071,8,1283,9,779,1,654,2,254,44,0,Y
Bolton 006A,E01004784,8,1474,0,1031,8,1491,Y,6,1466,3,1551,0,1071,3,1560,5,1165,0,851,0,717,17,0,Y
Bolton 006B,E01004785,30,695,0,1031,30,741,Y,8,1302,2,1615,0,1071,14,941,9,779,0,851,0,717,33,0,Y
Bolton 006C,E01004786,17,1115,0,1031,17,1148,Y,9,1211,5,1415,0,1071,14,941,14,504,2,558,0,717,44,0,Y
Bolton 006D,E01004789,5,1574,0,1031,5,1579,Y,19,470,11,842,1,657,8,1283,6,1061,0,851,0,717,45,0,Y
Bolton 006E,E01004791,8,1474,0,1031,8,1491,Y,9,1211,6,1319,0,1071,2,1610,2,1498,0,851,0,717,19,0,Y
Bolton 006F,E01004792,5,1574,0,1031,5,1579,Y,6,1466,8,1142,0,1071,5,1452,6,1061,0,851,0,717,25,0,Y
Bolton 007A,E01004779,18,1072,1,603,19,1062,Y,9,1211,8,1142,1,657,8,1283,6,1061,0,851,0,717,32,0,Y
Bolton 007B,E01004781,56,240,1,603,57,260,Y,12,940,20,298,3,312,25,482,93,28,101,24,7,91,261,0,Y
Bolton 007C,E01004882,14,1227,0,1031,14,1257,Y,10,1104,18,375,1,657,18,755,6,1061,0,851,0,717,53,0,Y
Bolton 007D,E01004883,32,659,0,1031,32,698,Y,8,1302,12,760,0,1071,14,941,16,417,1,654,0,717,51,0,Y
Bolton 007E,E01004884,6,1546,0,1031,6,1557,Y,6,1466,2,1615,0,1071,5,1452,7,952,0,851,0,717,20,0,Y
Bolton 008A,E01004864,29,735,1,603,30,741,Y,17,577,21,271,1,657,19,717,13,548,9,296,0,717,80,0,Y
Bolton 008B,E01004867,22,945,1,603,23,935,Y,25,256,15,531,0,1071,15,895,11,651,0,851,1,384,67,0,Y
Bolton 008C,E01004921,42,446,3,286,45,436,Y,15,722,15,531,1,657,26,448,7,952,3,477,0,717,67,0,Y
Bolton 008D,E01004924,21,980,0,1031,21,1011,Y,12,940,10,953,2,439,8,1283,17,391,0,851,0,717,49,0,Y
Bolton 008E,E01004925,9,1427,1,603,10,1406,Y,11,1013,11,842,0,1071,4,1515,4,1280,0,851,0,717,30,0,Y
Bolton 009A,E01004778,5,1574,0,1031,5,1579,Y,1,1666,5,1415,1,657,4,1515,3,1379,0,851,0,717,14,0,Y
Bolton 009B,E01004780,22,945,1,603,23,935,Y,7,1389,13,687,0,1071,11,1108,9,779,0,851,0,717,40,0,Y
Bolton 009C,E01004782,15,1197,0,1031,15,1222,Y,3,1619,2,1615,1,657,6,1405,2,1498,0,851,0,717,14,0,Y
Bolton 009D,E01004783,18,1072,0,1031,18,1104,Y,10,1104,6,1319,0,1071,8,1283,8,867,0,851,0,717,32,0,Y
Bolton 010A,E01004802,65,175,0,1031,65,199,Y,35,112,11,842,3,312,23,574,20,311,0,851,0,717,92,0,Y
Bolton 010B,E01004926,34,611,0,1031,34,643,Y,8,1302,6,1319,0,1071,24,535,14,504,1,654,0,717,53,0,Y
Bolton 010C,E01004927,97,58,1,603,98,69,Y,21,386,18,375,0,1071,50,82,30,187,29,113,1,384,149,0,Y
Bolton 010D,E01004929,79,97,2,403,81,110,Y,19,470,11,842,2,439,27,424,32,167,14,209,1,384,106,0,Y
Bolton 011A,E01004820,75,115,4,210,79,122,Y,20,432,23,214,2,439,53,64,27,216,0,851,2,254,127,0,Y
Bolton 011B,E01004825,51,296,0,1031,51,340,Y,21,386,27,143,3,312,34,244,16,417,2,558,0,717,103,0,Y
Bolton 011C,E01004826,46,373,1,603,47,401,Y,31,151,18,375,2,439,31,327,9,779,1,654,1,384,93,0,Y
Bolton 011D,E01004865,34,611,1,603,35,625,Y,22,345,15,531,1,657,24,535,13,548,2,558,0,717,77,0,Y
Bolton 011E,E01004866,55,252,1,603,56,273,Y,50,44,26,161,0,1071,45,116,16,417,5,413,2,254,144,0,Y
Bolton 012A,E01004840,26,812,3,286,29,767,Y,18,515,15,531,3,312,15,895,9,779,0,851,0,717,60,0,Y
Bolton 012B,E01004841,51,296,0,1031,51,340,Y,15,722,5,1415,0,1071,26,448,11,651,1,654,0,717,58,0,Y
Bolton 012C,E01004842,7,1513,0,1031,7,1525,Y,5,1535,13,687,1,657,5,1452,3,1379,0,851,0,717,27,0,Y
Bolton 012D,E01004919,10,1386,0,1031,10,1406,Y,19,470,8,1142,0,1071,9,1218,10,702,0,851,0,717,46,0,Y
Bolton 012E,E01004920,29,735,1,603,30,741,Y,13,860,5,1415,0,1071,8,1283,10,702,0,851,1,384,37,0,Y
